tool.by;name;"cost for user";"cost 2 ";manufacturer;f8;f3;rating;f5;f7;f9;f10;enabled;url;title;description;keywords;anons
38983;"Мотобур Калибр БС-1650";330;340;5821;;;;;;;;;bs;"Мотобур Калибр БС-1650";"Мотобур Калибр БС-1650";"Мотобур Калибр БС-1650";"
"
38984;"Универсальный бур-шнек Калибр НШУ-200/ЗЕМ";65;75;5821;;;;;;;;;;"Универсальный бур-шнек Калибр НШУ-200/ЗЕМ";"Универсальный бур-шнек Калибр НШУ-200/ЗЕМ";"Универсальный бур-шнек Калибр НШУ-200/ЗЕМ";"
"
38978;"Домкрат подкатной Калибр ПД-02";35;;5821;;;;;;;;;;"Домкрат подкатной Калибр ПД-02";"Домкрат подкатной Калибр ПД-02";"Домкрат подкатной Калибр ПД-02";"
"
38979;"Домкрат подкатной усиленный Калибр ПД-03";120;;5821;;;;;;;;;;"Домкрат подкатной усиленный Калибр ПД-03";"Домкрат подкатной усиленный Калибр ПД-03";"Домкрат подкатной усиленный Калибр ПД-03";"
"
38971;"Насадка-шнек для земли Калибр БС-НШ-250/ЗЕМ";52;59;5821;;;;;;;;;;"Насадка-шнек для земли Калибр БС-НШ-250/ЗЕМ";"Насадка-шнек для земли Калибр БС-НШ-250/ЗЕМ";"Насадка-шнек для земли Калибр БС-НШ-250/ЗЕМ";"
"
38972;"Насадка-шнек для льда Калибр НШ-150/Л";53;60;5821;;;;;;;;;;"Насадка-шнек для льда Калибр НШ-150/Л";"Насадка-шнек для льда Калибр НШ-150/Л";"Насадка-шнек для льда Калибр НШ-150/Л";"
"
38973;"Электронасос погружной вибрационный Родник-М180 10м";22;25;5813;;;;;;;;;rm180-10m;"Электронасос погружной вибрационный Родник-М180 10м";"Электронасос погружной вибрационный Родник-М180 10м";"Электронасос погружной вибрационный Родник-М180 10м";"
"
38974;"Электронасос погружной вибрационный Родник-Н250 16м";36;48;5813;;;;;;;;;;"Электронасос погружной вибрационный Родник-Н250 16м";"Электронасос погружной вибрационный Родник-Н250 16м";"Электронасос погружной вибрационный Родник-Н250 16м";"
"
39118;"Плиткорез электрический Ставр ПЭ-115/1400";75;85;28553;;;;;;;;;pe115-1400;"Плиткорез электрический Ставр ПЭ-115/1400";"Плиткорез электрический Ставр ПЭ-115/1400";"Плиткорез электрический Ставр ПЭ-115/1400";"
"
38968;"Точило Интерскол Т-150/150";67;72;5826;;;;;;;;;t150-150;"Точило Интерскол Т-150/150";"Точило Интерскол Т-150/150";"Точило Интерскол Т-150/150";"
"
38969;"Точило Интерскол Т-150-200/250";119;127;5826;;;;;;;;;t150-200-250;"Точило Интерскол Т-150-200/250";"Точило Интерскол Т-150-200/250";"Точило Интерскол Т-150-200/250";"
"
38970;"Точило Интерскол Т-125/120";57;61;5826;;;;;;;;;t125-120;"Точило Интерскол Т-125/120";"Точило Интерскол Т-125/120";"Точило Интерскол Т-125/120";"
"
6011;"Сварочный инвертор Калибр СВИ-165АП";170;187;5821;Sv-i1143;;;;"8734, 8735, 8735";"Сварочный инвертор Калибр СВИ 165АП купиь в магазине TOOL.by +375291305310";;;svi165ap;"Сварочный инвертор Калибр  СВИ-165АП купить с доставкой в Минске +375291305310";"Сварочный инвертор Калибр Mini СВИ-165АП купить с доставкой в Минске +375291305310";"Сварочный инвертор Калибр СВИ-165АП купить с доставкой в Минске +375291305310";"
"
3040;"Лобзик электрический маятниковый Калибр ЛЭМ-600Ем";95;105;5821;E-l2656;;;;;;;;lem-600em;"Лобзик электрический маятниковый Калибр ЛЭМ-600Ем Купить в Минске!";"Лобзик электрический маятниковый Калибр ЛЭМ-600Ем Купить в Минске!";"Лобзик электрический маятниковый Калибр ЛЭМ-600Ем Купить в Минске!";"600 Вт, глубина пропила дерева - 85 мм, регулировка скорости - 500-2900 ход/мин, обдув линии пропила
"
3042;"Лобзик электрический маятниковый Калибр ЛЭМ-710Е";65;72;5821;E-l2658;;;;;;;;lem-710e;"Лобзик электрический маятниковый Калибр ЛЭМ-710Е Купить в Минске!";"Лобзик электрический маятниковый Калибр ЛЭМ-710Е Купить в Минске!";"Лобзик электрический маятниковый Калибр ЛЭМ-710Е Купить в Минске!";"710 Вт, глубина пропила дерева - 80 мм, регулировка скорости - 500-3000 ход/мин
"
6020;"Лобзик электрический маятниковый Калибр ЛЭМ-610Е";35;39;5821;E-l2666;;;;;;;;lem-610e;"Лобзик электрический маятниковый Калибр ЛЭМ-610Е Купить в Минске!";"Лобзик электрический маятниковый Калибр ЛЭМ-610Е Купить в Минске!";"Лобзик электрический маятниковый Калибр ЛЭМ-610Е Купить в Минске!";"610 Вт, глубина пропила дерева - 65 мм, регулировка скорости - 500-3000 ход/мин
"
3049;"Лобзик электрический маятниковый Калибр ЛЭМ-850Е+";48;65;5821;E-l4236;;;;;;;;lem-850e+;"Лобзик электрический маятниковый Калибр ЛЭМ-850Е+ Купить в Минске!";"Лобзик электрический маятниковый Калибр ЛЭМ-850Е+ Купить в Минске!";"Лобзик электрический маятниковый Калибр ЛЭМ-850Е+ Купить в Минске!";"850 Вт, глубина пропила дерева - 100 мм, регулировка скорости - 500-3000 ход/мин, лазерная направляющая, кейс
"
6018;"Лобзик электрический маятниковый Калибр ЛЭМ-450Е";30;33;5821;E-l2664;;;;;;;;lem-450e;"Лобзик электрический маятниковый Калибр ЛЭМ-450Е Купить в Минске!";"Лобзик электрический маятниковый Калибр ЛЭМ-450Е Купить в Минске!";"Лобзик электрический маятниковый Калибр ЛЭМ-450Е Купить в Минске!";"450 Вт, глубина пропила дерева - 55 мм, регулировка скорости - 500-3000 ход/мин
"
39098;"Угловая шлифовальная машина Kolner KAG 180/1600";57;62;38882;;;;;;;;;kag180-1600;"Угловая шлифовальная машина Kolner KAG 180/1600";"Угловая шлифовальная машина Kolner KAG 180/1600";"Угловая шлифовальная машина Kolner KAG 180/1600";"
"
39099;"Угловая шлифовальная машина Kolner KAG 180/1800";59;65;38882;;;;;;;;;kag180-1800;"Угловая шлифовальная машина Kolner KAG 180/1800";"Угловая шлифовальная машина Kolner KAG 180/1800";"Угловая шлифовальная машина Kolner KAG 180/1800";"
"
39100;"Машина шлифовальная угловая Ставр МШУ-125/1100М";60;66;28553;;;;;;;;;mshu125-1100m;"Машина шлифовальная угловая Ставр МШУ-125/1100М";"Машина шлифовальная угловая Ставр МШУ-125/1100М";"Машина шлифовальная угловая Ставр МШУ-125/1100М";"
"
39101;"Угловая шлифмашина Skil 9035 LA";62;65;38927;;;;;;;;;9035la;"Угловая шлифмашина Skil 9035 LA";"Угловая шлифмашина Skil 9035 LA";"Угловая шлифмашина Skil 9035 LA";"
"
39102;"Угловая шлифовальная машина Kolner KAG 230/2000 R";70;75;38882;;;;;;;;;kag230-2000r;"Угловая шлифовальная машина Kolner KAG 230/2000 R";"Угловая шлифовальная машина Kolner KAG 230/2000 R";"Угловая шлифовальная машина Kolner KAG 230/2000 R";"
"
39103;"Угловая шлифовальная машина Kolner KAG 230/2400R";79;85;38882;;;;;;;;;kag230-2400r;"Угловая шлифовальная машина Kolner KAG 230/2400R";"Угловая шлифовальная машина Kolner KAG 230/2400R";"Угловая шлифовальная машина Kolner KAG 230/2400R";"
"
39104;"Машина шлифовальная угловая Ставр МШУ-180/1800 М";119;125;28553;;;;;;;;;mshu180-1800m;"Машина шлифовальная угловая Ставр МШУ-180/1800 М";"Машина шлифовальная угловая Ставр МШУ-180/1800 М";"Машина шлифовальная угловая Ставр МШУ-180/1800 М";"
"
39105;"Машина шлифовальная угловая Ставр МШУ-230/2200 М";130;135;28553;;;;;;;;;mshu230-2200m;"Машина шлифовальная угловая Ставр МШУ-230/2200 М";"Машина шлифовальная угловая Ставр МШУ-230/2200 М";"Машина шлифовальная угловая Ставр МШУ-230/2200 М";"
"
39106;"Угловая шлифмашина Makita GA 9020";140;154;5827;;;;;;;;;ga9020;"Угловая шлифмашина Makita GA 9020";"Угловая шлифмашина Makita GA 9020";"Угловая шлифмашина Makita GA 9020";"
"
30230;"Шлифовальная машина Makita 9565 CVL";248;272;5827;;;;;;;;;mt9565cvl;"Купить Шлифовальная машина Makita 9565 CVL в Минске 029 130-53-10!";"Купить Шлифовальная машина Makita 9565 CVL в Минске 029 130-53-10!";"Купить Шлифовальная машина Makita 9565 CVL в Минске 029 130-53-10!";"Система воздушного охлаждения
"
30227;"Шлифовальная машина Makita 9562 CVH";195;215;5827;;;;;;;;;mt9562cvh;"Купить Шлифовальная машина Makita 9562 CVH в Минске 29 130-53-10!";"Купить Шлифовальная машина Makita 9562 CVH в Минске 29 130-53-10!";"Купить Шлифовальная машина Makita 9562 CVH в Минске 29 130-53-10!";"Электронная регулировка скорости вращения 
"
30226;"Шлифовальная машина Makita 9565 H";165;177;5827;;;;;;;;;mt9565h;"Купить Шлифовальная машина Makita 9565 HZ в Минске 29 130-53-10!";"Купить Шлифовальная машина Makita 9565 HZ в Минске 29 130-53-10!";"Купить Шлифовальная машина Makita 9565 HZ в Минске 29 130-53-10!";"Муфта SJS
"
30224;"Шлифовальная машина Makita 9069 F";155;162;5827;;;;;;;;;mt9069f;"Купить Шлифовальная машина Makita 9069 F в Минске 029 130-53-10!";"Купить Шлифовальная машина Makita 9069 F в Минске 029 130-53-10!";"Купить Шлифовальная машина Makita 9069 F в Минске 029 130-53-10!";"Быстрозажимная шайба – суперфланец
"
3358;"Машина шлифовальная угловая (болгарка) Калибр МШУ-115/500";25;28;5821;E-b4342;;;;;;;;mshu115-500;"Машина шлифовальная угловая Калибр МШУ-115/500 Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-115/500 Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-115/500 Купить в Минске!";"Малый вес и компактный размер
"
3359;"Машина шлифовальная угловая (болгарка) Калибр МШУ-125/850+";39;43;5821;E-b2936;;;;;;;;mshu125-850+;"Машина шлифовальная угловая Калибр МШУ-125/850+  Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-125/850+  Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-125/850+  Купить в Минске!";"Кейс в комплекте
"
3360;"Машина шлифовальная угловая (болгарка) Калибр МШУ-125/850";35;39;5821;E-b4343;;;;;;;;mshu125-850;"Машина шлифовальная угловая Калибр МШУ-125/850 Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-125/850 Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-125/850 Купить в Минске!";"Корпус редуктора из высокопрочного металла
"
3362;"Машина шлифовальная угловая (болгарка) Калибр МШУ-125/900Е";41;45;5821;E-b2937;;;;;;;;mshu125e;"Машина шлифовальная угловая Калибр МШУ-125Е Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-125Е Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-125Е Купить в Минске!";"Регулировка оборотов
"
6043;"Машина шлифовальная угловая (болгарка) Калибр МШУ-115/700";27;30;5821;E-b2943;;;;;;;;mshu115-700;"Машина шлифовальная угловая Калибр МШУ-115/700 Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-115/700 Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-115/700 Купить в Минске!";"Прорезиненная основная рукоятка
"
3363;"Машина шлифовальная угловая (болгарка) Калибр МШУ-125Е+";41;50;5821;E-b4346;;;;;;;;mshu125e+;"Машина шлифовальная угловая Калибр МШУ-125Е+ Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-125Е+ Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-125Е+ Купить в Минске!";"Укомплектована в кейс
"
3364;"Машина шлифовальная угловая (болгарка) Калибр МШУ-150/1200Е";60;66;5821;E-b4347;;;;;;;;mshu150e;"Машина шлифовальная угловая Калибр МШУ-150Е Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-150Е Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-150Е Купить в Минске!";"Регулировка скорости вращения 
"
3365;"Машина шлифовальная угловая (болгарка) Калибр МШУ-150/1200";60;66;5821;E-b4348;;;;;;;;mshu150-1200;"Машина шлифовальная угловая Калибр МШУ-150/1200 Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-150/1200 Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-150/1200 Купить в Минске!";"Боковая рукоятка устанавливается в трех положениях
"
3367;"Машина шлифовальная угловая (болгарка) Калибр МШУ-180/1300Е";65;72;5821;E-b4349;;;;;;;;mshu180e;"Машина шлифовальная угловая Калибр МШУ-180Е Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-180Е Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-180Е Купить в Минске!";"Регулировка скорости вращения
"
3368;"Машина шлифовальная угловая (болгарка) Калибр МШУ-180/1800";69;76;5821;E-b4350;;;;;;;;mshu180-1800;"Машина шлифовальная угловая Калибр МШУ-180/1800 Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-180/1800 Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-180/1800 Купить в Минске!";"Стабильно работает под нагрузкой
"
3372;"Машина шлифовальная угловая (болгарка) Калибр МШУ-230/2000Р";74;82;5821;E-b4351;;;;;;;;mshu230-2000p;"Машина шлифовальная угловая Калибр МШУ-230/2000Р Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-230/2000Р Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-230/2000Р Купить в Минске!";"Большой диаметр рабочего диска
"
3373;"Машина шлифовальная угловая (болгарка) Калибр МШУ-230/2400Р";85;94;5821;E-b4352;;;;;;;;mshu230-2400p;"Машина шлифовальная угловая Калибр МШУ-230/2400Р Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-230/2400Р Купить в Минске!";"Машина шлифовальная угловая Калибр МШУ-230/2400Р Купить в Минске!";"Эффективно работает продолжительное время
"
3396;"Угловая полировальная машина Калибр УПМ-180Е";65;75;5821;E-po2960;;;;;;;;upm-180e;"Угловая полировальная машина Калибр УПМ-180Е Купить в Минске!";"Угловая полировальная машина Калибр УПМ-180Е Купить в Минске!";"Угловая полировальная машина Калибр УПМ-180Е Купить в Минске!";"1200 Вт, 600-3000 об/мин, полировальный диск - 180 мм
"
3397;"Угловая полировальная машина Калибр УПМ-1200/180Ем";90;99;5821;E-po2961;;;;;;;;upm-1200-180em;"Угловая полировальная машина Калибр УПМ-1200/180 Ем Купить в Минске!";"Угловая полировальная машина Калибр УПМ-1200/180 Ем Купить в Минске!";"Угловая полировальная машина Калибр УПМ-1200/180 Ем Купить в Минске!";"1200 Вт, регулировка скорости 600-3000 об/мин
"
3398;"Электрическая полировальная машина Калибр ЭПМ-1050ДМ (+ дрель + миксер)";78;86;5821;E-po4354;;;;;;;;epm-1050dm;"Электрическая полировальная машина Калибр ЭПМ-1050ДМ (+ дрель + миксер) Купить в Минске!";"Электрическая полировальная машина Калибр ЭПМ-1050ДМ (+ дрель + миксер) Купить в Минске!";"Электрическая полировальная машина Калибр ЭПМ-1050ДМ (+ дрель + миксер) Купить в Минске!";"1050 Вт, 600-2000 об/мин, возможность использования в качестве дрели и миксера
"
27847;"Пила дисковая DeWALT DWE 575 K";252;270;5811;;;;;;;;;dwe575k;"Пила дисковая DeWALT DWE575K Купить DW 575 K makita, bosch, Dewalt, Kress, Калибр 029 130-53-10 в Минске!";"Пила дисковая DeWALT DWE575K Купить DW 575 K makita, bosch, Dewalt, Kress, Калибр 029 130-53-10 в Минске!";"Пила дисковая DeWALT DWE575K Купить DW 575 K makita, bosch, Dewalt, Kress, Калибр 029 130-53-10 в Минске!";"
"
3574;"Ленточная шлифовальная машина Makita 9910 K";170;185;5827;E-shl3121;;;;;;;;9910;"Ленточная шлифовальная машина Makita 9910 Купить bosch 029 130-53-10 makita, dewalt, kress, Калибр в Минске!";"Ленточная шлифовальная машина Makita 9910 Купить bosch 029 130-53-10 makita, dewalt, kress, Калибр в Минске!";"Ленточная шлифовальная машина Makita 9910 Купить bosch 029 130-53-10 makita, dewalt, kress, Калибр в Минске!";"
"
3596;"Вибрационная шлифовальная машина Makita BO3711";80;85;5827;E-shl3143;;;;;;;;mtbo3711;"Вибрационная шлифовальная машина Makita BO3711 - Купить bo3711 makita, bosch 029 130-53-10, dewalt, kress, калибр в Минске!";"Вибрационная шлифовальная машина Makita BO3711 - Купить bo3711 makita, bosch 029 130-53-10, dewalt, kress, калибр в Минске!";"Вибрационная шлифовальная машина Makita BO3711 - Купить bo3711 makita, bosch 029 130-53-10, dewalt, kress, калибр в Минске!";"Регулировка числа оборотов
"
3631;"Ленточная шлифовальная машина Калибр ЛШМ-1200";120;132;5821;E-shl3178;;;;;;;;lshm-1200;"Ленточная шлифовальная машина Калибр ЛШМ-1200 Купить в Минске!";"Ленточная шлифовальная машина Калибр ЛШМ-1200 Купить в Минске!";"Ленточная шлифовальная машина Калибр ЛШМ-1200 Купить в Минске!";"1200 Вт, шлиф. лента - 610х100 мм, скорость шлифования - 480 м/мин
"
3634;"Ленточная шлифовальная машина Калибр ЛШМ-750";50;55;5821;E-shl3181;;;;;;;;lshm-750;"Ленточная шлифовальная машина Калибр ЛШМ-750 Купить в Минске!";"Ленточная шлифовальная машина Калибр ЛШМ-750 Купить в Минске!";"Ленточная шлифовальная машина Калибр ЛШМ-750 Купить в Минске!";"750 Вт, шлиф. лента - 457х76 мм, скорость шлифования - 260 м/мин
"
3635;"Ленточная шлифовальная машина Калибр ЛШМ-750+";54;60;5821;E-shl3182;;;;;;;;lshm-750+;"Ленточная шлифовальная машина Калибр ЛШМ-750+ Купить в Минске!";"Ленточная шлифовальная машина Калибр ЛШМ-750+ Купить в Минске!";"Ленточная шлифовальная машина Калибр ЛШМ-750+ Купить в Минске!";"750 Вт, шлиф. лента - 457х76 мм, скорость шлифования - 260 м/мин, + шлиф. рамка и  струбцины
"
3636;"Ленточная шлифовальная машина Калибр ЛШМ-800";54;60;5821;E-shl3183;;;;;;;;lshm-800;"Ленточная шлифовальная машина Калибр ЛШМ-800 Купить в Минске!";"Ленточная шлифовальная машина Калибр ЛШМ-800 Купить в Минске!";"Ленточная шлифовальная машина Калибр ЛШМ-800 Купить в Минске!";"800 Вт, шлиф. лента - 533х76 мм, скорость шлифования - 380 м/мин
"
3637;"Ленточная шлифовальная машина Калибр ЛШМ-850Е";63;70;5821;E-shl3184;;;;;;;;lshm-850e;"Ленточная шлифовальная машина Калибр ЛШМ-850Е Купить в Минске! ";"Ленточная шлифовальная машина Калибр ЛШМ-850Е Купить в Минске! ";"Ленточная шлифовальная машина Калибр ЛШМ-850Е Купить в Минске! ";"850 Вт, шлиф. лента - 457х76 мм, регулировка скорости  - 0-280 м/мин
"
3638;"Ленточная шлифовальная машина Калибр ЛШМ-900";60;66;5821;E-shl3185;;;;;;;;lshm-900;"Ленточная шлифовальная машина Калибр ЛШМ-900 Купить в Минске!";"Ленточная шлифовальная машина Калибр ЛШМ-900 Купить в Минске!";"Ленточная шлифовальная машина Калибр ЛШМ-900 Купить в Минске!";"900 Вт, шлиф. лента - 533х76 мм, скорость шлифования - 380 м/мин
"
3640;"Машина плоскошлифовальная Калибр МПШ-180";23;26;5821;E-shl3187;;;;;;;;mpsh-180;"Машина плоскошлифовальная Калибр МПШ-180 Купить в Минске!";"Машина плоскошлифовальная Калибр МПШ-180 Купить в Минске!";"Машина плоскошлифовальная Калибр МПШ-180 Купить в Минске!";"180 Вт, 10000 об/мин, шлифовальная поверхность 90 х 187 мм
"
3641;"Машина плоскошлифовальная Калибр МПШ-300Р";40;44;5821;E-shl3188;;;;;;;;mpsh-300r;"Машина плоскошлифовальная Калибр МПШ-300Р Купить в Минске!";"Машина плоскошлифовальная Калибр МПШ-300Р Купить в Минске!";"Машина плоскошлифовальная Калибр МПШ-300Р Купить в Минске!";"300 Вт, 6000 - 10000 об/мин, шлифовальная поверхность 115 х 230 мм, регулировка скорости
"
3642;"Эксцентриковая шлифовальная машина Калибр ЭШМ-420Р";45;50;5821;E-shl3189;;;;;;;;eshm-420r;"Эксцентриковая шлифовальная машина Калибр ЭШМ-420Р Купить в Минске!";"Эксцентриковая шлифовальная машина Калибр ЭШМ-420Р Купить в Минске!";"Эксцентриковая шлифовальная машина Калибр ЭШМ-420Р Купить в Минске!";"420 Вт, 6000 – 11000 об/мин, 125 мм, регулировка скорости, регулируемая рукоятка
"
3712;"Рубанок электрический Калибр РЭ-1100+СТ";105;110;5821;E-r3246;;;;;;;;re-1100+st;"Рубанок электрический Калибр РЭ-1100+СТ Купить в Минске!";"Рубанок электрический Калибр РЭ-1100+СТ Купить в Минске!";"Рубанок электрический Калибр РЭ-1100+СТ Купить в Минске!";"1100 Вт, строгание (ШхГл) - 110х3 мм, 14500 об/мин, опора для стационарного крепления
"
6054;"Рубанок электрический Калибр РЭ-720+СТ";87;95;5821;E-r3253;;;;;;;;re-720+st;"Рубанок электрический Калибр РЭ-720+СТ Купить в Минске!";"Рубанок электрический Калибр РЭ-720+СТ Купить в Минске!";"Рубанок электрический Калибр РЭ-720+СТ Купить в Минске!";"720 Вт, строгание (ШхГл) - 82х2 мм, 14000 об/мин, опора для стационарного крепления
"
6055;"Рубанок электрический Калибр РЭ-1050";61;67;5821;E-r3257;;;;;;;;re-1050;"Рубанок электрический Калибр РЭ-1050 Купить в Минске!";"Рубанок электрический Калибр РЭ-1050 Купить в Минске!";"Рубанок электрический Калибр РЭ-1050 Купить в Минске!";"1050 Вт, строгание (ШхГл) - 82х3 мм, 16000 об/мин
"
39005;"Рубанок Интерскол Р-82/710";71;76;5826;;;;;;;;;r28-710;"Рубанок Интерскол Р-82/710";"Рубанок Интерскол Р-82/710";"Рубанок Интерскол Р-82/710";"
"
39006;"Рубанок Интерскол Р-110/2000М";150;158;5826;;;;;;;;;r110-2000m;"Рубанок Интерскол Р-110/2000М";"Рубанок Интерскол Р-110/2000М";"Рубанок Интерскол Р-110/2000М";"
"
3721;"Рубанок электрический Калибр РЭ-750Р";58;67;5821;E-r3255;;;;;;;;re-750r;"Рубанок электрический Калибр РЭ-750Р Купить в Минске!";"Рубанок электрический Калибр РЭ-750Р Купить в Минске!";"Рубанок электрический Калибр РЭ-750Р Купить в Минске!";"750 Вт, строгание (ШхГл) - 82х2 мм, 16500 об/мин
"
3722;"Рубанок электрический Калибр РЭ-900Р";68;75;5821;E-r3256;;;;;;;;re-900r;"Рубанок электрический Калибр РЭ-900Р Купить в Минске!";"Рубанок электрический Калибр РЭ-900Р Купить в Минске!";"Рубанок электрический Калибр РЭ-900Р Купить в Минске!";"900 Вт, строгание (ШхГл) - 82х3 мм, 14000 об/мин
"
6058;"Электрический теплопистолет Калибр ТП-1950";27;33;5821;E-tf3359;;;;;;;;tp-1950;"Электрический теплопистолет Калибр ТП-1950 Купить в Минске!";"Электрический теплопистолет Калибр ТП-1950 Купить в Минске!";"Электрический теплопистолет Калибр ТП-1950 Купить в Минске!";"1950 Вт, 2 режима: 350/550°С, 300/500 л/мин, кейс
"
3792;"Фрезер электрический ручной с регулировкой частоты оборотов Калибр ФЭ-1200Е";85;;5821;E-f3317;;;;;;;;;;;;"
"
6057;"Фрезер электрический Калибр ФЭ-650Е";69;72;5821;"E-f33181
";;;;;;;;;;;;
3793;"Фрезер электрический ручной с регулировкой частоты оборотов Калибр ФЭ-1800Е";134;144;5821;E-f3318;;;;;;;;;;;;"
"
38966;"Точило Интерскол Т-200/350";90;96;5826;;;;;;;;;t200-350;"Точило Интерскол Т-200/350";"Точило Интерскол Т-200/350";"Точило Интерскол Т-200/350";"
"
38967;"Точило Интерскол Т-150/250";76;81;5826;;;;;;;;;t150-250;"Точило Интерскол Т-150/250";"Точило Интерскол Т-150/250";"Точило Интерскол Т-150/250";"
"
38965;"Фен электрический Интерскол ФЭ-2000";56;60;5826;;;;;;;;;fe2000;"Фен электрический Интерскол ФЭ-2000";"Фен электрический Интерскол ФЭ-2000";"Фен электрический Интерскол ФЭ-2000";"
"
38964;"Фен электрический Интерскол ФЭ-2000ЭД";81;85;5826;;;;;;;;;fe2000ed;"Фен электрический Интерскол ФЭ-2000ЭД";"Фен электрический Интерскол ФЭ-2000ЭД";"Фен электрический Интерскол ФЭ-2000ЭД";"
"
3842;"Фен промышленный Интерскол ФЭ-2000Э";52;55;5826;E-tf3357;;;;;;;;fe2000e;"Фен промышленный Интерскол ФЭ-2000Э";"Фен промышленный Интерскол ФЭ-2000Э";"Фен промышленный Интерскол ФЭ-2000Э";"
"
3843;"Термопистолет электрический Калибр ТП-2000";30;35;5821;E-tf3358;;;;;;;;;;;;"
"
3863;"Электрический ручной миксер Калибр ЭРМ-1100/2Е";120;132;5821;E-m3375;;;;;;;;erm-1100-2e;"Ручной электрический миксер Калибр ЭРМ-1100/2Е Купить в Минске!";"Ручной электрический миксер Калибр ЭРМ-1100/2Е Купить в Минске!";"Ручной электрический миксер Калибр ЭРМ-1100/2Е Купить в Минске!";"1100 Вт, 2-скорости: 0-460/0-580 об/мин
"
39107;"Краскопульт электрический Ставр КЭ-800";75;85;28553;;;;;;;;;ke800;"Краскопульт электрический Ставр КЭ-800";"Краскопульт электрический Ставр КЭ-800";"Краскопульт электрический Ставр КЭ-800";"
"
39108;"Уровень лазерный Энкор УЛ-5 с треногой";65;75;5814;;;;;;;;;ul5;"Уровень лазерный Энкор УЛ-5 с треногой";"Уровень лазерный Энкор УЛ-5 с треногой";"Уровень лазерный Энкор УЛ-5 с треногой";"
"
3969;"Пила электрическая многофункциональная МАСТЕР ПЭМ – 450м";65;70;5821;P-m1594;;;;;;;;pem450m;"Пила электрическая многофункциональная МАСТЕР ПЭМ – 450м";"Пила электрическая многофункциональная МАСТЕР ПЭМ – 450м";"Пила электрическая многофункциональная МАСТЕР ПЭМ – 450м";"
"
3999;"Сабельная пила Makita JR3060T";320;360;5827;P-s1622;;5;;;;;;makita_jr3060t;"Купить Сабельная пила Makita JR3060T в Минске 029 130-53-10!";"Купить Сабельная пила Makita JR3060T в Минске 029 130-53-10!";"Купить Сабельная пила Makita JR3060T в Минске 029 130-53-10!";"Регулировка маятникового хода
"
38961;"Фрезер Интерскол ФМ-67/2200Э";323;346;5826;;;;;;;;;fm2200-67e;"Фрезер Интерскол ФМ-67/2200Э";"Фрезер Интерскол ФМ-67/2200Э";"Фрезер Интерскол ФМ-67/2200Э";"
"
4013;"Электрическая пила алмазная Калибр Мастер ЭПА-1200/115М";70;77;5821;P-a1635;;;;;;;;epa1200-115m;"Электрическая пила алмазная Калибр Мастер ЭПА-1200/115М Купить в Минске!";"Электрическая пила алмазная Калибр Мастер ЭПА-1200/115М Купить в Минске!";"Электрическая пила алмазная Калибр Мастер ЭПА-1200/115М Купить в Минске!";"1200 Вт, 12 000 об/мин, глубина пропила - 0-30 мм,  диск - 115 мм
"
4034;"Бензиновая пила цепная Калибр БП-1400/16";118;125;5821;P-b1651;;;;;;;;;;;;"
"
4035;"Бензиновая пила цепная Калибр БП-1800/18";123;134;5821;P-b4380;;;;;;;;;;;;"
"
4036;"Бензиновая пила цепная Калибр БП-2600/18";150;165;5821;P-b1653;;;;;;;;;;;;"
"
4037;"Бензиновая пила цепная Калибр БП-2200/18";138;150;5821;P-b4381;;;;;;;;;;;;"
"
6084;"Пила сабельная электрическая ЭСП 920 М";98;105;5821;"P-s1627
";;;;;;;;;;;;
39110;"Пила электрическая многофункциональная Калибр Мастер ПЭМ–450М";65;68;5821;;;;;;;;;pem450;"Пила электрическая многофункциональная Калибр Мастер ПЭМ–450М";"Пила электрическая многофункциональная Калибр Мастер ПЭМ–450М";"Пила электрическая многофункциональная Калибр Мастер ПЭМ–450М";"
"
